CodigoInterno,NombreInvima,DescripcionComercial,PrincipioActivo,CodigoInvima,Cum
2601,NEUROPRON® 10.000,SOLUCIÓN INYECTABLE. JERINGA DE VIDRIO TIPO I PRELLENADA CON 2ML DE SOLUCIÓN. CAJA POR 3JERINGAS,PIRIDOXINA (VITAMINA B6),INVIMA 2009M-0009654,19999623-3
2602,SIMPAUSE,CAJA POR 30 CAPSULAS EN BLISTER PVC/PVDC/ALUMINIO POR 10 CAPSULAS BLANDAS C/U,ISOFLAVONA DE SOYA AISLADAS AL 40% (EQUIVALENTE A 100 MG DE ISOFLAVONAS TOTALES),INVIMA 2020M-0006671-R1,19964450-3
2603,TIBONELLA® TABLETAS 2.5 MG,CAJA X 28 TABLETAS EN BLISTER PVC /PVDC ALUMINIO X 28 TABLETAS CADA UNO.,TIBOLONA,INVIMA 2020M-0002087-R2,19933397-1
2604,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 20G DE CREMA.,BETAMETASONA17 -VALERATO EQUIVALENTE A BETAMETASONA BASE,INVIMA 2015 M-006655-R3,49309-3
2605,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 20G DE CREMA.,CLOTRIMAZOL,INVIMA 2015 M-006655-R3,49309-3
2606,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 20G DE CREMA.,NEOMICINASULFATO EQUIVALENTE A NEOMICINA BASE,INVIMA 2015 M-006655-R3,49309-3
2607,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 40G DE CREMA.,BETAMETASONA17 -VALERATO EQUIVALENTE A BETAMETASONA BASE,INVIMA 2015 M-006655-R3,49309-4
2608,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 40G DE CREMA.,CLOTRIMAZOL,INVIMA 2015 M-006655-R3,49309-4
2609,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 40G DE CREMA.,NEOMICINASULFATO EQUIVALENTE A NEOMICINA BASE,INVIMA 2015 M-006655-R3,49309-4
2610,TRIGENTAX® LOCIÓN,FRASCO EN POLIETILENO DE ALTA DENSIDAD (PEHD) BLANCO POR 50 ML CON BOMBA ATOMIZADORA (SPRAY) Y CÁNULA EN POLIPROPILENO.,CLOTRIMAZOL *,INVIMA 2017M-0011968-R1,20019426-2
2611,TRIGENTAX® LOCIÓN,FRASCO EN POLIETILENO DE ALTA DENSIDAD (PEHD) BLANCO POR 50 ML CON BOMBA ATOMIZADORA (SPRAY) Y CÁNULA EN POLIPROPILENO.,BETAMETASONA DIPROPIONATO. EQUIVALENTE A 0.04G DE BETAMETASONA BASE* *,INVIMA 2017M-0011968-R1,20019426-2
2612,TRIGENTAX® LOCIÓN,FRASCO EN POLIETILENO DE ALTA DENSIDAD (PEHD) BLANCO POR 50 ML CON BOMBA ATOMIZADORA (SPRAY) Y CÁNULA EN POLIPROPILENO.,NEOMICINA SULFATO 60%. EQUIVALENTE A 0.5G DE NEOMICINA BASE***,INVIMA 2017M-0011968-R1,20019426-2
2613,PRELUDYO 150 MG,CAJA POR 300 CAPSULAS BLISTER PVC/PVDC/ALUMINIO POR 10 CAPSULAS,PREGABALINA,INVIMA 2023M-0011762-R2,20020744-11
2614,ACICLOVIR250 MG POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,CAJA PLEGADIZA POR 10 VIALES DE VIDRIO TIPO I COLOR AMBAR. TAPON GRIS DE BROMOBUTILO Y AGRAFE DE ALUMINIO TIPO CEBRA.,ACICLOVIR SODICO 274.41 MG EQUIVALENTE A ACLICLOVIR BASE:,INVIMA 2022M-0003840-R2,19945134-5
2615,ALENCAL®2.5 MG,COMERCIAL: CAJA CON 30SIN DATOTABLETAS EN BLISTER ALUMINIO - PVC/PE/PVDC POR 10 TABLETAS CADA UNO.,LEVOAMLODIPINOAMPLODIPINO NICOTINATO EQUIVALENTE A LEVOAMLODIPINO BASE,INVIMA 2023M-0017298-R1,20096059-2
2616,ALENCAL ® VALS 5.0 / 160 MG,CAJA X 30 TABLETAS RECUBIERTAS. EN BLISTER PVC/PVDC BLANCO/ALUMINIO X 10 TABLETAS RECUBIERTAS CADA UNO.,VALSARTÁN,INVIMA 2013M-0014108,20049457-3
2617,ALENCAL ® VALS 5.0 / 160 MG,CAJA X 30 TABLETAS RECUBIERTAS. EN BLISTER PVC/PVDC BLANCO/ALUMINIO X 10 TABLETAS RECUBIERTAS CADA UNO.,LEVO-AMLODIPINO NICOTINATO 6.702MG EQUIVALENTE A LEVO-AMLODIPINO,INVIMA 2013M-0014108,20049457-3
2618,ZYVALIX®,FRASCO POR 120 TABLETAS DE ABIRATERONA 250 MG,ABIRATERONA,INVIMA 2023M-0018026-R1,20115120-1
2619,ABIRAND ® 250 MG TABLETAS,FRASCO DE POLIETILENO CON TAPA Y SELLO DE INDUCCION POR CALOR. (IUM 1A1006781004100).,ABIRATERONA ACETATO,INVIMA 2019M-0019045,20148436-1
2620,TERONRED® 250 MG TABLETAS RECUBIERTAS,1A1006781005100: CAJA POR FRASCO HDPE CON TAPA DE POLIPROPILENO A PRUEBA DE NIÑOS POR 120 TABLETAS RECUBIERTAS CON BOLSA ADSORBENTE DE OXÍGENO.,ACETATO DE ABIRATERONA,INVIMA 2019M-0018706,20116619-1
2621,XIALOX® 400 MG TABLETAS RECUBIERTAS.,CAJA POR 10 TABLETAS EN UN (1) BLÍSTER EN ALUMINIO-PVC/PVDC TRANSPARENTE POR 10 TABLETAS.,DEXIBUPROFENO,INVIMA 2020M-0019572,20157415-4
3081,ZOPICLONA7.5MG TABLETAS,CAJA POR 30 TABLETAS EN BLISTER PVC TRANSPARENTE/ALUMINIO,ZOPICLONA,INVIMA 2010M-0010467,20007098-3
3082,MELOXICAM 15 MG/1.5 ML SOLUCIÓN INYECTABLE,CAJA POR 10 AMPOLLAS DE VIDRIO TIPO I POR 1.5 ML.,MELOXICAM,INVIMA 2009M-0009793,19998786-4
3083,GENZYME-RENAGEL 800 MG TABLETAS,CAJA FRASCO DE PEAD COLOR BLANCO X 180 TABLETAS CUBIERTAS. CON TAPA DE SEGURIDAD CON PRECINTO DE ROPTURA,CLORHIDRATO DE SEVELAMER,INVIMA 2019M-0003667-R2,19944743-1
3084,PEMGEM 500MG/VIAL,PRESENTACIÓN COMERCIAL: CAJA CON UN VIAL DE VIDRIO TIPO ISIN DATOPOR 50 ML SELLADO CON UNA TAPA DE BROMURO DE BUTILO Y SELLO FLIP- OFF.,PEMETREXED DISÓDICO EQUIVALENTE A PEMETREXED ÁCIDO LIBRE,INVIMA 2016M-0017412,20097112-1
3085,EMGALITY,CAJA POR 1 INYECTOR (PLUMA) PRELLENADO DESCARTABLE DE 1 ML,GALCANEZUMAB,INVIMA 2021MBT-0000029,20155001-2
3086,TAZEPIN® 30 MG TABLETAS RECUBIERTAS,CAJA POR 20 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO / PVDC TRANSPARENTE,MIRTAZAPINA,INVIMA 2022M-0005268-R2,19955888-2
3087,DABIX® 160/12.5 TABLETA RECUBIERTA,2C1025901000100 CAJA X 30 TABLETAS RECUBIERTAS EN BLISTER LAMINADO DE ALU/ALU MAS PAPEL ALUMINIO,VALSARTAN,INVIMA 2018M-0018640,20140915-1
3088,DABIX® 160/12.5 TABLETA RECUBIERTA,2C1025901000100 CAJA X 30 TABLETAS RECUBIERTAS EN BLISTER LAMINADO DE ALU/ALU MAS PAPEL ALUMINIO,CLORTALIDONA,INVIMA 2018M-0018640,20140915-1
3089,DABIX80/12.5 MG TABLETAS,CAJA X 30 ATBLETAS EN 3 BLISTER ALU/ALU MAS PAPEL ALUMINIO X 10SIN DATOTABLETAS,VALSARTAN,INVIMA 2016M-0017229,20104101-2
3090,DABIX80/12.5 MG TABLETAS,CAJA X 30 ATBLETAS EN 3 BLISTER ALU/ALU MAS PAPEL ALUMINIO X 10SIN DATOTABLETAS,CLORTALIDONA,INVIMA 2016M-0017229,20104101-2
3091,ZOPICLONA 7.5 MG TABLETAS RECUBIERTAS,CAJA PLEGADIZA POR 10 TABLETAS EN BLÍSTER PVC TRASLUCIDO INCOLORO / PAPEL ALUMINIO LAMINADO SIN IMPRESIÓN POR 10 TABLETAS CADA BLÍSTER.,ZOPICLONA,INVIMA 2023M-0012647-R2,20034621-2
3092,ALKERAN® 2 MG TABLETAS,MELFALAN 2.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ALKERAN) TABLETA 1.0000U / CAJA X 25. FRASCO DE VIDRIO AMBAR TIPO IIISIN DATOPOR 25 COMPRIMIDOS CON TAPA PLÁSTICA.,MELFALAN,INVIMA 2023M-005467-R4,46265-1
3093,AMOXAL® 500 MG CAPSULAS,CAJA PLEGADIZA DE CARTON X 30 CAPSULAS CON 3 BLISTER PVC/ALU POR 10 CÁPSULAS C/U,AMOXICILINA TRIHIDRATADA 625 MG EQUIVALENTE A AMOXICILINA BASE,INVIMA 2021M-007223-R4,22606-5
3094,ARIXTRA 2.5 MG / 0.5 ML,USO INSTITUCIONAL: CAJA CON 2SIN DATOJERINGAS DE VIDRIO TIPO I PRELLENADAS DE 2.5 MG/0.5 ML CADA UNA.,FONDAPARINUX SODICO,INVIMA 2022M-0001399-R3,19928346-5
3095,ARIXTRA ® 7.5 MG /0.6 ML,CAJA POR 2 JERINGAS DE VIDRIO TIPO I TRANSPARENTE PRELLENADAS POR 7.5 MG/0.6 ML CADA UNA. USO INSTITUCIONAL,FONDAPARINUX SODICO,INVIMA 2022M-0006595-R2,19968360-4
3096,LANVIS®,CAJA X FRASCO DE VIDRIO ÁMBAR CON CIERRE DE SEGURIDADSIN DATOX 25 TABLETAS.,TIOGUANINA,INVIMA 2023M-005877-R4,47108-1
3097,NINLARO® 3.0 MG,1I1013571000101 IXAZOMIB 3.0000 MG CAPSULAS DE LIBERACIÓN NO MODIFICADA ORAL (NINLARO) CAPSULA 1.0000U / CAJA X 3 - CAJA PLEGADIZA EMPAQUE MÚLTIPLE POR 3 CARTERAS BLÍSTER PACK EN PVC-ALUMINIO/ALUMINIO POR UNA CÁPSULA DURA COLOR GRIS CLARO. CADA UNA,IXAZOMIB CITRATO 4.30 MG EQUIVALENTES A IXAZOMIB,INVIMA 2020M-0019657,20147970-2
3098,LEUKERAN TABLETAS RECUBIERTAS 2 MG,CAJA DE CARTON CON FRASCO DE VIDRIO AMBAR TIPO III POR 25 TABLETAS CON TAPA PLÁSTICA A PRESIÓN CON CIERRE A PRUEBA DE NIÑOS,CLORAMBUCILO,INVIMA 2022M-005468-R4,46264-1
3099,KOACT® 625 TABLETA RECUBIERTA,CAJA POR 15 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO/ALUMINIO. CADA BLISTER CON 5 TABLETAS RECUBIERTAS,CLAVULANATO DE POTASIO + CELULOSA MICROCRISTALINA (AVICEL PH101) (1:1) 277.77MGEQUIVALENTE A ACIDO CLAVULANICO,INVIMA 2020M-0010055-R1,20004819-1
3100,KOACT® 625 TABLETA RECUBIERTA,CAJA POR 15 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO/ALUMINIO. CADA BLISTER CON 5 TABLETAS RECUBIERTAS,AMOXICILINA TRIHIDRATO 573.40 MG EQUIVALENTE A AMOXICILINA,INVIMA 2020M-0010055-R1,20004819-1
3101,KOACT ® 1000 TABLETAS RECUBIERTAS,CAJA POR 15 TABLETAS EN BLISTER ALUMINIO/ALUMINIO POR 5 TABLETAS CADA UNO MÁS INSERTO.,CLAVULONATO DE POTASIO + CELULOSA MICROCRISTALINA (1:1) 277.77 MG EQUIVALENTE A ÁCIDO CLAVULÁNICO,INVIMA 2021M-0010086-R1,20004817-1
3102,KOACT ® 1000 TABLETAS RECUBIERTAS,CAJA POR 15 TABLETAS EN BLISTER ALUMINIO/ALUMINIO POR 5 TABLETAS CADA UNO MÁS INSERTO.,AMOXICILINA TRIHIDRATO 1003.44 MG EQUIVALENTE A AMOXICILINA,INVIMA 2021M-0010086-R1,20004817-1
3103,KOACT ® 1000 TABLETAS RECUBIERTAS,CAJA POR 15 TABLETAS EN BLISTER ALUMINIO/ALUMINIO POR 5 TABLETAS CADA UNO MÁS INSERTO.,AMOXICILINA TRIHIDRATO 1003.44 MG EQUIVALENTE A AMOXICILINA,INVIMA 2021M-0010086-R1,20004817-1
3104,KOACT ® 1000 TABLETAS RECUBIERTAS,CAJA POR 15 TABLETAS EN BLISTER ALUMINIO/ALUMINIO POR 5 TABLETAS CADA UNO MÁS INSERTO.,CLAVULONATO DE POTASIO + CELULOSA MICROCRISTALINA (1:1) 277.77 MG EQUIVALENTE A ÁCIDO CLAVULÁNICO,INVIMA 2021M-0010086-R1,20004817-1
3105,IPICLAV® 1 G,CAJA PLEGADIZA POR 14 TABLETAS EN BLISTER EN PVC/ PE/ PVDC Y FOIL DE ALUMINIO,CLAVULANATO DE POTASIO (343.47MG) EQUIVALENTE A ACIDO CLAVULANICO,INVIMA 2022M-0012739-R2,20032447-4
3106,IPICLAV® 1 G,CAJA PLEGADIZA POR 14 TABLETAS EN BLISTER EN PVC/ PE/ PVDC Y FOIL DE ALUMINIO,AMOXICILINA TRIHIDRATO (1048.97) EQUIVALENTE A AMOXICILINA,INVIMA 2022M-0012739-R2,20032447-4
3107,AMOXICLADELT® TABLETAS 625 MG,CAJA PLEGADIZA CON BOLSA SACHET DE ALUMINIO POR 14 TABLETAS EN 2 BLÍSTER DE PVC Y PAPEL DE ALUMINIO. CADA BLÍSTER POR 7 TABLETAS,CLAVULANATO DE POTASIO Y CELULOSA MICROCRISTALINA (1:1) EQUIVALENTE A ACIDO CLAVULANICO,INVIMA 2022M-0020769,20208299-2
3108,AMOXICLADELT® TABLETAS 625 MG,CAJA PLEGADIZA CON BOLSA SACHET DE ALUMINIO POR 14 TABLETAS EN 2 BLÍSTER DE PVC Y PAPEL DE ALUMINIO. CADA BLÍSTER POR 7 TABLETAS,AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA,INVIMA 2022M-0020769,20208299-2
3109,CLAVULIN® TABLETAS 1G,CAJA PLEGADIZA CON 14 TABLETAS RECUBIERTAS EN DOS BLÍSTER PVD/PVDC-ALUMINIO POR 7 TABLETAS CADA UNO. DENTRO DE UNA BOLSA DE ALUMINIO DESECADA Y CON SELLO DE SEGURIDAD EN LA CAJA.,AMOXICILINA TRIHIDRATADA EQUIVALENTE A AMOXICILINA,INVIMA2020M-006616-R2,209244-5
2622,DEXKETOVITAE 25 MG/10ML,1D1026061000101: CAJA CON 10 SOBRES PET/PEBD/AL/PE X 10 ML DE SOLUCIÓN CADA UNO.,DEXKETOPROFENO TROMETAMOL EQUIVALENTE A DEXKETOPROFENO,INVIMA 2019M-0018833,20105211-2
2623,DEXKETOVITAE® 25 MG COMPRIMIDOS RECUBIERTOS,CAJA X 20 COMPRIMIDOS RECUBIERTOS EL BLISTER ALU /PVC / PVDC + INSERTO,DEXKETOPROFENO TROMETAMOL EQUIVALENTE A DEXKETOPROFENO BASE.,INVIMA 2023M-0018009-R1,20103268-2
2624,ABACAVIR 600 MG Y LAMIVUDINA 300 MG,FRASCO X 30 TABLETAS RECUBIERTAS,LAMIVUDINA,INVIMA 2010M-0010571,20008845-1
2625,ABACAVIR 600 MG Y LAMIVUDINA 300 MG,FRASCO X 30 TABLETAS RECUBIERTAS,SULFATO DE ABACAVIR 702.780 MG EQUIVALENTE A ABACAVIR,INVIMA 2010M-0010571,20008845-1
2626,EMTRICITABINA 200 MG Y TENOFOVIR DISOPROXIL FUMARATO 300MG,CAJA CON FRASCO DE HDPE CON 30 TABLETAS RECUBIERTAS,EMTRICITABINA,INVIMA 2020M-0013048-R1,20043884-1
2627,EMTRICITABINA 200 MG Y TENOFOVIR DISOPROXIL FUMARATO 300MG,CAJA CON FRASCO DE HDPE CON 30 TABLETAS RECUBIERTAS,TENOFOVIR DISOPROXIL FUMARATO,INVIMA 2020M-0013048-R1,20043884-1
2628,LOPINAVIR 200 MG + RITONAVIR 50 MG,CAJA DE CARTON CON FRASCO DE PEAD BLANCO Y TAPA DE POLIETILENO BLANCO CONSIN DATOSELLO DE SEGURIDAD DE ALUMINIO Y SILICA GELSIN DATOPOR 120 TABLETAS RECUBIERTAS,LOPINAVIR,INVIMA 2023M-0018234-R1,20115574-1
2629,LOPINAVIR 200 MG + RITONAVIR 50 MG,CAJA DE CARTON CON FRASCO DE PEAD BLANCO Y TAPA DE POLIETILENO BLANCO CONSIN DATOSELLO DE SEGURIDAD DE ALUMINIO Y SILICA GELSIN DATOPOR 120 TABLETAS RECUBIERTAS,RITONAVIR,INVIMA 2023M-0018234-R1,20115574-1
2630,AUROPLERISTEM 20 MG/ML,CAJA CON UN VIAL TUBULAR DE VIDRIO TRANSPARENTE TIPO I CON TAPÓN DE CAUCHO GRIS DE CLOROBUTILO Y SELLO DE ALUMINIO CON TAPA FLIP OFF DE POLIPROPILENO DE COLOR VERDE.,PLERIXAFOR,INVIMA 2023M-0021084,20187826-1
2631,ENZASTIK® 40 MG CÁPSULAS BLANDAS,1E1033301002101 ENZALUTAMIDA 40.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (ENZASTIK) CAPSULA 1.0000U / CAJA X 12 CAPSULAS BLANDAS EN BLÍSTER PVC/PVDC/ALUMINIO.,ENZALUTAMIDA,INVIMA 2022M-0020816,20195068-2
2632,PACSITA® 500 TABLETAS RECUBIERTAS,1C1001651010101 CAPECITABINA 500.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (PACSITA) TABLETA 1.0000U / CAJA X 120 TABLETAS RECUBIERTAS EN BLÍSTER DE PVC/PVDC - ALUMINIO.,CAPECITABINA,INVIMA 2022M-0020748,20160260-4
2633,DEXMEDETOMIDINA 200 MCG/ 2 ML,1D1001421006101 CAJA CON 5 VIALES DE VIDRIO TIPO I POR 2 ML CON TAPON DE CLORO BUTILO GRIS Y CON TAPA DE ALUMINIO FLIP OFF Y UN SELLO DE PP EN FORMA DE DISCO AZUL.,DEXMEDETOMIDINA CLORHIDRATO 236.41 MCG EQUIVALENTE A DEXMEDETOMIDINA,INVIMA 2020M-0019812,20131283-1
2634,ZALTRENSA® 40 MG,CAJA POR 120 CÁPSULAS BLANDAS EN 4 BLÍSTER EN PVC-ACLAR/ ALUMINIO POR 30 CÁPSULAS CADA UNO.,ENZALUTAMIDA,INVIMA 2024M-0021638,20199474-1
2635,ENZALUTAMIDA 40MG CÁPSULAS BLANDAS,1E1033301001100 ENZALUTAMIDA 40.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (MK) CAPSULA 1.0000U / CAJA PLEGADIZA POR 120 CÁPSULAS BLANDAS EN BLÍSTER PVC-ACLAR/ALUMINIO POR 4 CÁPSULAS BLANDAS CADA UNO + INSERTO.,ENZALUTAMIDA,INVIMA 2021M-0020416,20198992-1
2636,FLUENZ® T,CAJA POR 7 CAPSULAS EN BLISTER DE PVC-PVDC/ALUMINIO. POR 7 CAPSULAS.,IBUPROFENO,INVIMA 2022M-0015040-R1,20064548-8
2637,FLUENZ® T,CAJA POR 7 CAPSULAS EN BLISTER DE PVC-PVDC/ALUMINIO. POR 7 CAPSULAS.,LEVOCETIRICINA DICLORHIDRATO,INVIMA 2022M-0015040-R1,20064548-8
2638,FLUENZ® T,CAJA POR 7 CAPSULAS EN BLISTER DE PVC-PVDC/ALUMINIO. POR 7 CAPSULAS.,DEXTROMETORFANO BROMOHIDRATO,INVIMA 2022M-0015040-R1,20064548-8
2639,FLUENZ® T,CAJA POR 7 CAPSULAS EN BLISTER DE PVC-PVDC/ALUMINIO. POR 7 CAPSULAS.,FENILEFRINA CLORHIDRATO,INVIMA 2022M-0015040-R1,20064548-8
2640,APRONAX275 MG,CAJA PORSIN DATO64 TABLETAS EN BLISTER PVC/PVDC ALUMINIO,NAPROXENO SODICO,INVIMA 2015M- 004602 R-3,41773-19
2641,HYALGAN ® 20 MG/2 ML SOLUCIÓN INYECTABLE,CAJA DE CARTÓN QUE CONTIENE UNA JERINGA PRELLENADA ETIQUETADA EN UN BLISTER DE PVC SELLADO INDIVIDUAL,ACIDO HIALURONICO SAL DE SODIO (HYALECTIN (R) ),INVIMA 2023M-010724-R3,49884-3
2642,SINGOMOD® 0.5 MG CÁPSULAS,CAJA PLEGADIZA POR 28SIN DATOCÁPSULAS DURAS EN BLÍSTER ALU-ALU POR 14 CÁPSULASSIN DATO,CLORHIDRATO DE FINGOLIMOD. EQUIVALENTE A FINGOLIMOD,INVIMA 2018M-0018544,20132491-3
2643,BIOVISC®,CAJA DE CARTÓN CON UNA JERINGA DESECHABLE DE VIDRIO BOROSILICATOSIN DATOTIPO I COLOR TRANSPARENTE CON CAPACIDAD DE 2.25ML. CON TAPÓN DE HULE (PLUNGER STOPED) DE MATERIAL ELASTÓMERO PH701/50 NEGRO YSIN DATOPISTÓN DE POLIPROPILENOSIN DATODE CRISTAL COLOR NATURALSIN DATOCON 1ML DE SOLUCIÓN VISCOELASTICA DE HIALURONATO DE SODIO AL 1.6%SIN DATOESTÉRILSIN DATOY UNA CÁNULA DE ACERO INOXIDABLE CON DIMENSIONES LARGO 35.5+/-0.5MM. ALTO 15.5+/- 0.5MM. ANCHO 6.5+/-0.5MM Y COLOR TRANSPARENTE.,HIALURONATO DE SODIO,INVIMA 2021M-0003580-R2,19934559-1
2644,OPTICEL® 0.4% SOLUCIÓN OFTÁLMICA,UN (1) FRASCO GOTERO EN PEBD POR 15 ML CON TAPA BLANCA EN PP Y SUBTAPA TRANSPARENTE EN PEBD EN CAJA PLEGADIZA.,HIALURONATO DE SODIO,INVIMA 2023M-0020986,20229953-1
2645,SOFTANE ®,2P1032181002100 CAJA POR UN(1) FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD POR 10 ML. CON TAPA BLANCA DE POLIPROPILENO Y SUBTAPA TRANSPARENTE DE POLIETILENO DE BAJA DENSIDAD.,PROPILENGLICOL,INVIMA 2023M-0020947,20224176-1
2646,SOFTANE ®,2P1032181002100 CAJA POR UN(1) FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD POR 10 ML. CON TAPA BLANCA DE POLIPROPILENO Y SUBTAPA TRANSPARENTE DE POLIETILENO DE BAJA DENSIDAD.,POLIETILENGLICOL 400,INVIMA 2023M-0020947,20224176-1
2647,GLICOLUB ULTRA®,2P1032181001100: CAJA PLEGADIZA CON FRASCO PEBD CON VÁLVULA PE/SILICONA POR 10 ML.,PROPILENGLICOL,INVIMA 2020M-0019850,20172811-1
2648,GLICOLUB ULTRA®,2P1032181001100: CAJA PLEGADIZA CON FRASCO PEBD CON VÁLVULA PE/SILICONA POR 10 ML.,POLIETILENGLICOL,INVIMA 2020M-0019850,20172811-1
2649,OCREVUS® CONCENTRADO PARA SOLUCION PARA INFUSION 300MG/10ML,CAJA POR UN VIAL DE VIDRIO MONODOSIS CON 10 ML DE SOLUCIÓN. CADA VIAL CONTIENE 300 MG DE OCRELIZUMAB. (EQUIVALENTE A 30MG/ML),OCRELIZUMAB,INVIMA 2019MBT-0018779,20115374-1
3110,CLAVULIN® TABLETAS 1G,CAJA PLEGADIZA CON 14 TABLETAS RECUBIERTAS EN DOS BLÍSTER PVD/PVDC-ALUMINIO POR 7 TABLETAS CADA UNO. DENTRO DE UNA BOLSA DE ALUMINIO DESECADA Y CON SELLO DE SEGURIDAD EN LA CAJA.,CLAVULANATO DE POTASIO EQUIVALENTE A ACIDO CLAVULANICO,INVIMA2020M-006616-R2,209244-5
3111,CLAVULIN® 500 MG TABLETAS,CAJA DE CARTÓN POR 14 UNIDADES EN BLÍSTER LAMINADO PVC/PVDC/ALU,AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA,INVIMA 2020M-010253-R3,32566-3
3112,CLAVULIN® 500 MG TABLETAS,CAJA DE CARTÓN POR 14 UNIDADES EN BLÍSTER LAMINADO PVC/PVDC/ALU,CLAVULANATO DE POTASIO EQUIVALENTE A ACIDO CLAVULANICO,INVIMA 2020M-010253-R3,32566-3
3113,ZENTEL 400 MG TABLETA RECUBIERTA,CAJA POR UNA TABLETA CUBIERTA CON PELICULA. EN BLISTER DE PVC/PVDC/ALUMINIO.,ALBENDAZOL,INVIMA 2008M - 010117 R1,224203-1
3114,CLAVULIN ES 600 POLVO PARA SUSPENSION.,CAJA CON UN FRASCO DE VIDRIO TRANSLÚCIDO TIPO III POR 100 ML CON TAPA DE ALUMINIO Y LINER DE POLIOLEFINA. CON CUCHARA DOSIFICADORA DE POLIESTIRENO COLOR TRANSLÚCIDO Y SELLO DE SEGURIDAD.,CLAVULANATO DE POTASIO:DIOXIDO DE SILICIO (1:1) EQUIVALENTE A ACIDO CLAVULANICO,INVIMA 2021M-0002672-R2,19936071-12
3115,CLAVULIN ES 600 POLVO PARA SUSPENSION.,CAJA CON UN FRASCO DE VIDRIO TRANSLÚCIDO TIPO III POR 100 ML CON TAPA DE ALUMINIO Y LINER DE POLIOLEFINA. CON CUCHARA DOSIFICADORA DE POLIESTIRENO COLOR TRANSLÚCIDO Y SELLO DE SEGURIDAD.,AMOXICILINA TRIHIDRATADA EQUIVALENTE A AMOXICILINA,INVIMA 2021M-0002672-R2,19936071-12
3116,CLAVULIN® TABLETAS 1G,CAJA PLEGADIZA CON 14 TABLETAS RECUBIERTAS EN DOS BLÍSTER PVD/PVDC-ALUMINIO POR 7 TABLETAS CADA UNO. DENTRO DE UNA BOLSA DE ALUMINIO DESECADA Y CON SELLO DE SEGURIDAD EN LA CAJA.,CLAVULANATO DE POTASIO EQUIVALENTE A ACIDO CLAVULANICO,INVIMA2020M-006616-R2,209244-5
3117,CLAVULIN® TABLETAS 1G,CAJA PLEGADIZA CON 14 TABLETAS RECUBIERTAS EN DOS BLÍSTER PVD/PVDC-ALUMINIO POR 7 TABLETAS CADA UNO. DENTRO DE UNA BOLSA DE ALUMINIO DESECADA Y CON SELLO DE SEGURIDAD EN LA CAJA.,AMOXICILINA TRIHIDRATADA EQUIVALENTE A AMOXICILINA,INVIMA2020M-006616-R2,209244-5
3118,CLAVULIN® 500 MG TABLETAS,CAJA DE CARTÓN POR 14 UNIDADES EN BLÍSTER LAMINADO PVC/PVDC/ALU,CLAVULANATO DE POTASIO EQUIVALENTE A ACIDO CLAVULANICO,INVIMA 2020M-010253-R3,32566-3
3119,CLAVULIN® 500 MG TABLETAS,CAJA DE CARTÓN POR 14 UNIDADES EN BLÍSTER LAMINADO PVC/PVDC/ALU,AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA,INVIMA 2020M-010253-R3,32566-3
3120,CLAVULIN® SUSPENSION 250,FRASCO DE VIDRIO CLARO TIPO III CON CIERRE DE ALUMINIO Y LINER POR 80 ML,ACID CLAVULANIC (COMO CLAVULANATE POTASSIUM 74.45MG),INVIMA 2021 M-010252-R3,32820-1
3121,CLAVULIN® SUSPENSION 250,FRASCO DE VIDRIO CLARO TIPO III CON CIERRE DE ALUMINIO Y LINER POR 80 ML,AMOXICILLIN (COMO AMOXICILLIN TRIHYDRATE 286.98MG),INVIMA 2021 M-010252-R3,32820-1
3122,BETNOVATE LOCION CAPILAR,FRASCO BLANCO EN POLIETILENO DE ALTA DENSIDAD POR 60ML. GOTERO BLANCO Y TAPA DE SEGURIDAD PLÁSTICA BLANCA,VALERATO DE BETAMETASONA MICRONIZADA. EQUIVALENTE A BETAMETASONA BASE,INVIMA 2023M-0014776-R2,20055745-1
